wavelength_nm,transmission_db
1556.85,-11.088182201613163
1556.9,-11.031625502005847
1556.95,-10.975086407657479
1557.0,-10.918634122331667
1557.05,-10.862334372025666
1557.1,-10.8062494829933
1557.15,-10.750438469041615
1557.2,-10.694957126361482
1557.25,-10.639858134319393
1557.3,-10.585191160791027
1557.35,-10.531002970773022
1557.4,-10.477337537145942
1557.45,-10.424236152602491
1557.5,-10.371737541876083
1557.55,-10.319877973527273
1557.6,-10.268691370644392
1557.65,-10.218209419917896
1557.7,-10.168461678634362
1557.75,-10.119475679217773
1557.8,-10.071277031009352
1557.85,-10.023889519051432
1557.9,-9.977335199687806
1557.95,-9.931634492845728
1558.0,-9.886806270904646
1558.05,-9.842867944100682
1558.1,-9.799835542440512
1558.15,-9.757723794125729
1558.2,-9.716546200519758
1558.25,-9.676315107697302
1558.3,-9.637041774645274
1558.35,-9.598736438182051
1558.4,-9.561408374687076
1558.45,-9.525065958732844
1558.5,-9.489716718715693
1558.55,-9.455367389595295
1558.6,-9.42202396284742
1558.65,-9.389691733739042
1558.7,-9.358375346036873
1558.75,-9.328078834259642
1558.8,-9.298805663581177
1558.85,-9.270558767495062
1558.9,-9.243340583341329
1558.95,-9.217153085804329
1559.0,-9.191997818475436
1559.05,-9.167875923582379
1559.1,-9.144788169977042
1559.15,-9.122734979471423
1559.2,-9.101716451611223
1559.25,-9.081732386966282
1559.3,-9.062782309022968
1559.35,-9.044865484750629
1559.4,-9.02798094391622
1559.45,-9.01212749721849
1559.5,-8.997303753304607
1559.55,-8.983508134735322
1559.6,-8.97073889295555
1559.65,-8.958994122329484
1559.7,-8.948271773292605
1559.75,-8.938569664671572
1559.8,-8.9298854952207
1559.85,-8.922216854420197
1559.9,-8.915561232579677
1559.95,-8.909916030286778
1560.0,-8.90527856724018
