wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1525.25,-46.16026489616581,-45.89804107940551,-60.0,-60.0,-21.78726318302494,-21.525039366264632,-52.188787267434726,-51.926563450674415,-27.83965442478995,-27.57743060802964,-58.24117850919974,-57.97895469243943,-3.4666527116490693,-3.2044288948887623,-33.868176796058854,-33.60595297929855
1525.3875,-41.821069792950915,-41.48325903407937,-60.0,-60.0,-19.65419736899903,-19.316386610127484,-47.85482439054638,-47.517013631674835,-25.727696454077712,-25.389885695206168,-53.928323475625064,-53.590512716753516,-3.560824030125833,-3.2230132712542856,-31.761451051673184,-31.423640292801633
1525.525,-38.37946730705261,-37.96605766091762,-60.0,-60.0,-17.974386033989802,-17.56097638785482,-44.41978089429178,-44.0063712481568,-24.074472162734395,-23.66106251659941,-50.51986702303637,-50.10645737690139,-3.6693908896715954,-3.255981243536612,-30.11478574997357,-29.701376103838587
1525.6625,-35.533922811162824,-35.04489660651899,-60.0,-60.0,-16.597073226268655,-16.10804702162482,-41.582128423354646,-41.093102218710804,-22.729338375677788,-22.24031217103395,-47.714393572763775,-47.22536736811993,-3.7924887907836142,-3.3034625861397746,-28.777543987869603,-28.288517783225764
1525.8,-33.11389972122886,-32.5492335550757,-56.848233275965185,-56.28356710981202,-15.437004550048712,-14.872338383895547,-39.17133810478503,-38.60667193863187,-21.607179389403314,-21.042513223250147,-45.34151294413963,-44.776846777986464,-3.930284218223159,-3.3656180520699945,-27.664617772959478,-27.099951606806314
1525.9375,-31.0134954752669,-30.37316020501182,-53.65376683579993,-53.01343156554485,-14.44124518661262,-13.800909916357543,-37.081516547145654,-36.441181276890575,-20.65522656450762,-20.01489129425254,-43.29549792504064,-42.65516265478556,-4.082976275853337,-3.442641005598258,-26.723247636386365,-26.082912366131286
1526.075,-29.162416781356825,-28.446377514795568,-50.83013033789369,-50.11409107133243,-13.57466755638593,-12.858628289824672,-35.242381112922786,-34.52634184636153,-19.83854791374832,-19.122508647187065,-41.50626147028518,-40.79022220372393,-4.250798688777428,-3.5347594222161693,-25.918512245314286,-25.20247297875303
1526.2125,-27.511615341457514,-26.7198314245625,-48.30374178695549,-47.51195787006047,-12.812769225474213,-12.0209853085792,-33.60489567097219,-32.81311175407717,-19.132868334672427,-18.341084417777413,-39.9249947801704,-39.13321086327539,-4.434022218689128,-3.642238301794115,-25.2261486641871,-24.43436474729209
1526.35,-26.02550787152504,-25.157932874031523,-46.02121555402363,-45.1536405565301,-12.13778296713867,-11.270207969645153,-32.13349064963725,-31.265915652143732,-18.520682454129734,-17.653107456636217,-38.51639013662832,-37.648815139134804,-4.632957549743361,-3.765382552249845,-24.628665232241946,-23.76109023474843
1526.4875,-24.67746094761097,-23.7340426463865,-43.942589624685,-42.99917132346053,-11.536419243323571,-10.593000942099103,-30.801547920397606,-29.858129619173134,-17.989000420391893,-17.04558211916742,-37.25412909746593,-36.31071079624145,-4.847958716104496,-3.904540414880024,-24.11308739317853,-23.16966909195406
1526.625,-23.447023170470914,-22.427703530653385,-42.03717382244296,-41.017854182625435,-10.998482352813552,-9.979162712996025,-29.588633004785603,-28.56931336496807,-17.527967976980708,-16.508648337163184,-36.11811862895276,-35.09879898913523,-5.07942715932335,-4.060107519505822,-23.669577811295397,-22.650258171477873
1526.7625,-22.31815119997647,-21.22286635386438,-40.280888834052455,-39.18560398794036,-10.515983522024479,-9.420698675912385,-28.478721156100466,-27.383436309988372,-17.129984202765122,-16.03469935665303,-35.09272183684111,-33.997436990729014,-5.32781652481313,-4.232531678701037,-23.290554158889115,-22.19526931277702
1526.9,-21.27802996472763,-20.106710188400644,-38.65449649477825,-37.48317671845127,-10.082551091535652,-8.911231315208672,-27.459017621586273,-26.28769784525929,-16.789117206386535,-15.617797430059557,-34.165583736437156,-32.994263960110175,-5.593638333194564,-4.422318556867582,-22.970104863245183,-21.7987850869182
1527.0375,-20.31626316149177,-19.068832849141707,-37.142385505363755,-35.89495519301369,-9.69302585612908,-8.445595543779017,-26.519148200001066,-25.271717887651004,-16.500706001156278,-15.253275688806216,-33.32682834502827,-32.079398032678206,-5.877468695793588,-4.630038383443526,-22.703591039665575,-21.456160727315513
1527.175,-19.424302791152567,-18.100680427099316,-35.73171570055937,-34.40809333650612,-9.343175932193686,-8.019553568140438,-25.65058884160049,-24.32696647754724,-16.261083145406978,-14.937460781353726,-32.568496054813785,-31.24487369076053,-6.1799562864481,-4.856333922394849,-22.4873691958549,-21.163746831801653
1527.3125,-18.595037742593984,-17.195135870962233,-34.41180088615696,-33.011899014525206,-9.029491158776962,-7.62958928714521,-24.846254302339936,-23.446352430708185,-16.06737842083259,-14.667476549200838,-31.884141564395563,-30.48423969276381,-6.501831837015565,-5.101929965383815,-22.318594980578542,-20.91869310894679
1527.45,-17.822491021716193,-16.34621621374247,-33.173654640105696,-31.697379832131972,-8.74903183152764,-7.272757023553917,-24.10019544991714,-22.62392064194342,-15.917378686116745,-14.441103878143025,-31.26854230450625,-29.79226749653253,-6.843919495928193,-5.367644687954471,-22.195083114317697,-20.718808306343973
1527.5875,-17.10159292762877,-15.548845746568396,-32.009650030537756,-30.456902849477387,-8.499315421263981,-6.94656824020361,-23.40737252417297,-21.8546253431126,-15.80942799002967,-14.256680808969298,-30.71748509293866,-29.16473791187829,-7.207150483664883,-5.654403302604511,-22.115207586573874,-20.5624604055135
1527.725,-16.428008413722154,-14.798683377322925,-30.91326060698637,-29.28393557058714,-8.278230396813973,-6.648905360414745,-22.763482590078187,-21.134157553678957,-15.742357621475062,-14.113032585075835,-30.227609814739278,-28.598284778340044,-7.5925796045668825,-5.963254568167655,-22.0778317978311,-20.448506761431865
1527.8625,-15.79800381715299,-14.091989357659642,-29.878860439800317,-28.172845980306967,-8.083969744781268,-6.3779552852879196,-22.164826367428596,-20.458811907935246,-15.715439415335267,-14.009424955841919,-29.79629603798259,-28.090281578489243,-8.001405342963544,-6.295390883470196,-22.08226196561087,-20.37624750611752
1528.0,-15.20834266274538,-13.425521084397706,-28.901567766427,-27.118746188079328,-7.914979040221177,-6.132157461873505,-21.6082041439028,-19.825382565555124,-15.72835812297633,-13.945536544628656,-29.42158322665795,-27.63876164831028,-8.434994500452127,-6.652172922104454,-22.12821960413375,-20.345398025786075
1528.1375,-14.656203257934894,-12.79645069191618,-27.97712131913013,-26.117368753111418,-7.769915427642377,-5.910162861623663,-21.090833488837614,-19.2310809228189,-15.781200476233082,-13.921447910214368,-29.102118537428325,-27.242365971409605,-8.894912645940565,-7.03516007992185,-22.2158307071358,-20.356078141117088
1528.275,-14.139112840148865,-12.202299196943123,-27.101781475826083,-25.16496783262034,-7.647614894244667,-5.710801251038924,-20.610283529921887,-18.67346988671614,-15.87446003457903,-13.937646391373288,-28.83712867025625,-26.900315027050503,-9.38296208867483,-7.446148445469088,-22.34563072435205,-20.408817081146307
1528.4125,-13.654894451967323,-11.640883371078079,-26.2722504965939,-24.258239415704654,-7.54706592442899,-5.533054843539748,-20.164421969055567,-18.150410888166324,-16.009058232414656,-13.99504715152541,-28.62641427704123,-26.612403196151988,-9.901229704876325,-7.88721862398708,-22.5185857495029,-20.504574668613657
1528.55,-13.20162371353761,-11.110272510518978,-25.485607599559227,-23.394256396540595,-7.467388121829734,-5.376036918811104,-19.751372007851348,-17.660020804832715,-16.186383431750105,-14.095032228731474,-28.470367317771718,-26.37901611475309,-10.452147840042228,-8.360796637023597,-22.736131726063846,-20.64478052304521
1528.6875,-12.77759337118777,-10.608752981936163,-24.739255694001763,-22.570415304750156,-7.407814740030578,-5.238974350778971,-19.36947706284457,-17.200636673592964,-16.408351443703427,-14.239511054451823,-28.37001376651742,-26.201173377265814,-11.038572812546237,-8.869732423294629,-23.000235135360228,-20.83139474610862
1528.825,-12.381284014567882,-10.134798936818365,-24.03087735854339,-21.784392280793874,-7.36767832001743,-5.121193242267914,-19.01727166399294,-16.77078658624342,-16.677493182088735,-14.431008104339218,-28.327086526064242,-26.080601448314727,-11.663887487538283,-9.417402409788766,-23.31348083151379,-21.066995753764274
1528.9625,-12.011339730935887,-9.687047962906277,-23.358398216635756,-21.03410644860614,-7.3463988207812445,-5.0221070527516325,-18.693457306481108,-16.369165538451497,-16.997078259887385,-14.672786491857773,-28.34413674558725,-26.019844977557636,-12.33213734973274,-10.007845581703128,-23.679195835432605,-21.35490406740299
1529.1,-11.666547744212323,-9.26428072033093,-22.719956279984743,-20.317689256103346,-7.343473769251072,-4.941206745369677,-18.39688230502349,-15.994615281142096,-17.371288094592035,-14.969021070710639,-28.42469663036445,-26.02242960648306,-13.048214119630783,-10.645947095749387,-24.1016226554032,-21.699355631521804
1529.2375,-11.34582129569414,-8.865403819349218,-22.113876144366348,-19.633458668021426,-7.35847006063697,-4.878052584292046,-18.126524909309175,-15.646107432964252,-17.805459586705922,-15.325042110360998,-28.573514435378126,-26.093096959033204,-13.81810835164875,-11.337690875303828,-24.586163200320957,-22.105745723976035
1529.375,-11.04818518175123,-8.48943535499193,-21.53864715981516,-18.97989733305586,-7.391017119823559,-4.83226729306426,-17.881479097887492,-15.32272927112819,-18.306432721945505,-15.747682895186204,-28.796894700009435,-26.238144873250135,-14.649264660017833,-12.090514833258535,-25.13972663808177,-22.580976811322465
1529.5125,-10.772763485074911,-8.135492635191572,-20.992904878920584,-18.35563402903724,-7.440801195435154,-4.803530345551814,-17.660942589280822,-15.023671739397484,-18.88305636836407,-16.24578551848073,-29.10319776220974,-26.465926912326402,-15.551094078724311,-12.913823228840972,-25.771235472569984,-23.13396462268664
1529.65,-10.518769129596635,-7.802781732505164,-20.475415227147664,-17.75942783005619,-7.50756060539034,-4.791573208298868,-17.464206702941368,-14.748219305849894,-19.546943676891615,-16.830956279800144,-29.50358977444264,-26.78760237735117,-16.53573515268532,-13.819747755593848,-26.492381250236345,-23.776393853144874
1529.7875,-10.285494962027816,-7.490588562378752,-19.985060948185257,-17.190154548536192,-7.591081789665649,-4.796175390016588,-17.290647775823093,-14.49574137617403,-20.31363760333498,-17.518731203685917,-30.01320358949242,-27.218297189843355,-17.619224430972814,-14.82431803132375,-27.318790417130256,-24.523884017481194
1529.925,-10.072306120152582,-7.198271248079914,-19.52082996290828,-16.64679509083561,-7.6911960551352445,-4.817161183062576,-17.13971989789094,-14.265685025818273,-21.204482968805966,-18.3304480967333,-30.653006811561667,-27.778971939488997,-18.82337290378863,-15.949338031715962,-28.271896746544325,-25.39786187447166
1530.0625,-9.878633493278201,-6.9252535777009445,-19.0818053482436,-16.128425432666344,-7.8077769206184735,-4.854397005041218,-17.01094877558387,-14.057568860006615,-22.24978695460844,-19.296407039031184,-31.452958809573836,-28.499578893996578,-20.178930381948707,-17.225550466371452,-29.382102236914104,-26.428722321336853
