wavelength_nm,through_db,cross_db
1613.0,-0.08337645461923408,-17.209030407151374
1613.35,-0.03856656593003071,-20.5350024274226
1613.7,-0.017172026796831406,-24.038210722093424
1614.05,-0.007473079204818954,-27.64658326449322
1614.4,-0.0030828139224942266,-31.489911312148394
1614.75,-0.0010031865146685366,-36.3645278413698
1615.1,-0.00010228054682756498,-46.27996384060998
1615.45,-0.00014263619880351233,-44.83561686535506
1615.8,-0.0010589369704670285,-36.12967146061803
1616.15,-0.00232042556587282,-32.7233268564212
1616.5,-0.002734149546734339,-32.010987466022414
1616.85,-0.0013804537677956756,-34.97831465718063
1617.2,-3.184169055828184e-05,-51.347897859053745
1617.55,-0.006417851832980301,-28.30715477926406
1617.9,-0.036770183919005134,-20.741257211789126
1618.25,-0.11615148632708672,-15.785541705256902
1618.6,-0.2763020582369189,-12.101420524889628
1618.95,-0.5521305872314359,-9.230565984197233
1619.3,-0.9784125892004779,-6.952648616075593
1619.65,-1.5876770673251168,-5.13990276921069
1620.0,-2.409400659664016,-3.7078995467970803
