wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db
1291.6,-3.363188682727434,-2.9842864058389313,-24.69454746800388,-24.003769880818272,-26.986538796414262,-18.31944122439665,-20.0768075382982,-26.786891944331835
1291.7,-3.4749606040987495,-3.0202484701240024,-23.257366433023453,-22.413164991622732,-25.46735174218332,-16.563433061891377,-18.696779069424974,-25.20670813268296
1291.8,-3.6007511517927906,-3.0702062832273875,-22.078247172919475,-21.08038267124134,-24.21743055918215,-15.071636800831625,-17.58327467907145,-23.895964723905735
1291.9,-3.7407428407108108,-3.1343365757885717,-21.091794075889702,-19.939978798480848,-23.167318346127743,-13.774296782038423,-16.66698255911853,-22.78520671049709
1292.0,-3.8951518998729915,-3.2128497825353515,-20.25592967914852,-18.94982695661477,-22.272684041433312,-12.626759455077172,-15.90371092859728,-21.830106757965613
1292.1,-4.064230482738217,-3.305992250380493,-19.542032966299917,-18.081256651357695,-21.503551188016825,-11.59869948177968,-15.263617617693512,-21.000694193284133
1292.2,-4.248269321702423,-3.414048890690125,-18.929804615986452,-17.313918478093186,-20.83875258270531,-10.668571344199796,-14.72566552710552,-20.275809922798757
1292.3,-4.447600891153101,-3.537346340094412,-18.40437764962825,-16.632894685824187,-20.262836649087102,-9.82051222859999,-14.274529816504511,-19.640013127418506
1292.4,-4.662603158942377,-3.676256709698333,-17.95459046166507,-16.026972120901362,-19.764230864430097,-9.042501434549337,-13.898762169189261,-19.081745076992185
1292.5,-4.893704025245399,-3.831202021664513,-17.571903769479576,-15.487559087349714,-19.334096216547138,-8.325210185643689,-13.589646127614145,-18.592184054021494
1292.6,-5.141386571697296,-4.002659456049903,-17.24969447868531,-15.007979119061769,-18.96558359635929,-7.661252625679664,-13.340454427673157,-18.164502310566363
1292.7,-5.406195273755683,-4.19116756085033,-16.9827805768452,-14.582995776519407,-18.653335234912884,-7.044680958686725,-13.145951467158127,-17.793368190249552
1292.8,-5.688743367580792,-4.39733361653643,-16.767093362168158,-14.20848477412549,-18.39314168079734,-6.470635041975759,-13.00205143725381,-17.47460394108212
1292.9,-5.989721611891704,-4.621842395536977,-16.59944701076934,-13.881203441242796,-18.18170109735147,-5.935092978023734,-12.905578937839078,-17.204946037107753
1293.0,-6.309908748965224,-4.865466620840889,-16.477374605208198,-13.598626639142303,-18.01644813368545,-5.43468966498396,-12.85409938355454,-16.981875313379856
1293.1,-6.65018405241356,-5.129079511340723,-16.39901104820154,-13.358829557164311,-17.895431666123027,-4.966582228683336,-12.845798566051435,-16.803496277467996
