wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1502.0125,-0.9668365910423429,-28.529890014814676,-24.669756190962524,-25.47353841646546,-20.632158389591435,-27.200545278032276,-18.761975454362673,-27.610336087955368,-15.635605542163667,-27.766756339425473,-22.379612926030727,-26.7688942581849,-23.551926115131607,-26.200337833611023,-11.721976916707446,-27.873374945526027
1502.15,-0.8242697787729574,-29.372999284915004,-25.501881441510893,-26.22746433423185,-21.338057746026493,-28.008076808953362,-19.658211474179765,-28.385289405621265,-16.2649883980802,-28.564631502023158,-23.233349328382076,-27.53478048851058,-24.288403956125748,-27.018476395380834,-12.761986484343371,-28.660777156530187
1502.2875,-0.6978465774237208,-30.357982761692238,-26.462065003264637,-27.109521493997043,-22.171424361886963,-28.94383050849825,-20.681414498885093,-29.288511073891822,-17.019650019519588,-29.49070975862588,-24.214879771312923,-28.42888211098717,-25.15283391564459,-27.964786398455537,-13.923234948883996,-29.576253682365376
1502.425,-0.5872715898357174,-31.521528462941557,-27.580788690728973,-28.15018531561556,-23.1627171139389,-30.038285052426957,-21.862098143607366,-30.35047786164013,-17.92994738952426,-30.575466240546834,-25.354691836141704,-29.48167579541538,-26.17568794076998,-29.069747632890973,-15.23659363499945,-30.65029805833965
1502.5625,-0.4922907351677564,-32.91952330045912,-28.903272053888713,-29.394668982551874,-24.357132078417017,-31.336656896595976,-23.24551250499357,-31.61640436687149,-19.0409680863965,-31.864113610112973,-26.698010676888074,-30.738376003037065,-27.40217565346107,-30.378577664907723,-16.74764008420324,-31.928139969825637
1502.7,-0.41268849466808466,-34.64310053132178,-30.500632283533303,-30.914083344570138,-25.82576240877153,-32.91006018015772,-24.90280412974272,-33.157402918277,-20.423689602912205,-33.42776193721031,-28.315958931422283,-32.270094889736406,-28.903404250399486,-31.962391741013224,-18.527821253359956,-33.48090536682729
1502.8375,-0.34828564242011034,-36.856069646585695,-32.49418507216657,-32.82973777603628,-27.68989916765763,-34.87980758434895,-26.955316934850234,-35.09478443256545,-22.199279560741275,-35.38771952807,-30.329857587948894,-34.198143164876264,-30.80067935833201,-33.94250364774151,-20.69875725014539,-35.42991750261686
1502.975,-0.2989374062534268,-39.90080649448557,-35.11734671993488,-35.3750422792601,-30.18293340250226,-37.479312436295444,-29.63649436927879,-37.661960516990575,-24.60099710184497,-37.97739499522659,-32.97312809627611,-36.7559321952026,-33.32740713433751,-36.55232781644718,-23.494145957167014,-38.00859919125375
1503.1125,-0.26453201574790813,-44.715487004165354,-38.91779319851476,-39.09766654581706,-33.85251517749144,-41.25624777076971,-33.494038530252034,-41.40660253000354,-28.176351160974207,-41.74445628099222,-36.79345143681902,-40.49113306675251,-37.031253323947475,-40.339538386088435,-27.4619243093961,-41.764632001273405
1503.25,-0.24498960419674168,-56.649769413180124,-45.83292924550679,-45.935009048394164,-40.63602263441737,-48.14801542244279,-40.46537930695322,-48.26611067256552,-34.86256868164351,-48.62629970629875,-43.72823721989693,-47.341145677313314,-43.84961234966207,-47.24153829654771,-34.5397393406303,-48.63542546164119
1503.3875,-0.24026144000024235,-50.802656757926584,-59.34982775905269,-59.37413643287532,-54.0205013519886,-60.0,-54.03761382156111,-60.0,-48.14653303351966,-60.0,-57.26456308505248,-60.0,-57.269546699571535,-60.0,-48.21488930489855,-60.0
1503.525,-0.2503294706053827,-42.818805035349286,-42.84943732958428,-42.795991047569125,-37.38687184037935,-45.11820350741538,-37.591714004732175,-45.171874850076996,-31.408990454426394,-45.576464341160374,-40.783382237298184,-44.22775425888368,-40.671994452964924,-44.23206640266252,-31.868532740194695,-45.563477320620464
1503.6625,-0.27520616910291856,-38.752903795148804,-37.56403416675808,-37.43284286763322,-31.967381428947007,-39.80984308525386,-32.359978563767754,-39.83134696898838,-25.882000759131657,-40.25799108144389,-35.516975378401284,-38.877565562646765,-35.28922120102281,-38.93381596870613,-26.73314175841158,-40.233966877741665
1503.8,-0.31493468021032667,-36.02295353798985,-34.356420050984724,-34.147487444101415,-28.624802176370537,-36.57940314336722,-29.205230973036063,-36.56876725859371,-22.42813392558931,-37.017360758579834,-32.328148662533906,-35.60526914579269,-31.984017991902043,-35.7134474928469,-23.671701212681086,-36.9823294159037
1503.9375,-0.36958926886568794,-33.98089793486768,-32.07101569162845,-31.784339259586226,-26.203524185141802,-34.271301625092875,-26.971912868893767,-34.2285522330302,-19.891561918934823,-34.698982798372015,-30.0613270584744,-33.255281079373745,-29.600794682379615,-33.41538004659267,-21.528803142944636,-34.65298762016752
