wavelength_nm,transmission_db
1556.85,-31.959853634910274
1556.9,-34.809771914107024
1556.95,-39.01128589499312
1557.0,-47.28258108888277
1557.05,-52.15537239152896
1557.1,-40.755782569645085
1557.15,-36.04186028503106
1557.2,-33.04001580008936
1557.25,-30.842320085489558
1557.3,-29.113923515333138
1557.35,-27.69368160413858
1557.4,-26.491546101316494
1557.45,-25.452057174032596
1557.5,-24.53862446852222
1557.55,-23.725833415537792
1557.6,-22.995312532006437
1557.65,-22.333350411638705
1557.7,-21.72944246050399
1557.75,-21.175363419035662
1557.8,-20.664552721644085
1557.85,-20.191694034171462
1557.9,-19.75241971080378
1557.95,-19.34309812192512
1558.0,-18.960677443532255
1558.05,-18.602568824552097
1558.1,-18.26655759050131
1558.15,-17.950734779031492
1558.2,-17.65344366524983
1558.25,-17.37323750377714
1558.3,-17.108845778069522
1558.35,-16.85914698168929
1558.4,-16.623146471418945
1558.45,-16.399958299351532
1558.5,-16.188790196259653
1558.55,-15.988931072861
1558.6,-15.7997405492394
1558.65,-15.62064013042513
1558.7,-15.451105727548573
1558.75,-15.290661286152126
1558.8,-15.138873331158496
1558.85,-14.995346275214454
1558.9,-14.85971836622576
1558.95,-14.731658172926906
1559.0,-14.610861525517553
1559.05,-14.497048843021398
1559.1,-14.3899627907276
1559.15,-14.289366220556248
1559.2,-14.19504035492605
1559.25,-14.106783180982902
1559.3,-14.02440802725452
1559.35,-13.947742299066114
1559.4,-13.876626352600143
1559.45,-13.810912490452974
1559.5,-13.750464063998525
1559.55,-13.69515466997385
1559.6,-13.644867430421044
1559.65,-13.599494346642482
1559.7,-13.558935719058066
1559.75,-13.523099625941917
1559.8,-13.49190145494212
1559.85,-13.465263482067494
1559.9,-13.44311449351782
1559.95,-13.42538944631812
1560.0,-13.412029164236753
